date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
03/08/2025,"AlAhad, 08 Rabi' Awwal, 2025",4:57 am,5:30 am,6:18 am,12:05 pm,1:15 pm,3:16 pm,4:30 pm,5:52 pm,6:54 pm,7:14 pm,7:15 pm,12:00 pm,1:00 pm
03/09/2025,"AlEthnien, 09 Rabi' Awwal, 2025",4:55 am,5:30 am,6:17 am,12:05 pm,1:15 pm,3:17 pm,4:30 pm,5:53 pm,6:55 pm,7:15 pm,7:15 pm,12:00 pm,1:00 pm
03/10/2025,"AthThulatha, 10 Rabi' Awwal, 2025",5:55 am,6:30 am,7:17 am,1:05 pm,1:15 pm,4:17 pm,5:30 pm,6:53 pm,6:56 pm,8:15 pm,8:16 pm,12:00 pm,1:00 pm
03/11/2025,"AlArbia'a, 11 Rabi' Awwal, 2025",5:53 am,6:30 am,7:15 am,1:05 pm,1:15 pm,4:18 pm,5:30 pm,6:55 pm,6:58 pm,8:16 pm,8:17 pm,12:00 pm,1:00 pm
03/12/2025,"AlKhamis, 12 Rabi' Awwal, 2025",5:51 am,6:01 am,7:13 am,1:05 pm,1:15 pm,4:19 pm,5:45 pm,6:56 pm,6:59 pm,8:18 pm,8:17 pm,12:00 pm,1:00 pm
03/13/2025,"AlJumaa, 13 Rabi' Awwal, 2025",5:49 am,5:59 am,7:11 am,1:04 pm,1:15 pm,4:20 pm,5:45 pm,6:58 pm,7:01 pm,8:19 pm,8:19 pm,12:00 pm,1:00 pm
03/14/2025,"AsSabt, 14 Rabi' Awwal, 2025",5:48 am,5:58 am,7:09 am,1:04 pm,1:15 pm,4:21 pm,5:45 pm,6:59 pm,7:02 pm,8:21 pm,8:20 pm,12:00 pm,1:00 pm
03/15/2025,"AlAhad, 15 Rabi' Awwal, 2025",5:46 am,5:56 am,7:07 am,1:04 pm,1:15 pm,4:21 pm,5:45 pm,7:00 pm,7:03 pm,8:22 pm,8:22 pm,12:00 pm,1:00 pm
03/16/2025,"AlEthnien, 16 Rabi' Awwal, 2025",5:44 am,5:54 am,7:05 am,1:04 pm,1:15 pm,4:22 pm,5:45 pm,7:01 pm,7:05 pm,8:23 pm,8:23 pm,12:00 pm,1:00 pm
03/17/2025,"AthThulatha, 17 Rabi' Awwal, 2025",5:42 am,5:52 am,7:03 am,1:03 pm,1:15 pm,4:23 pm,6:00 pm,7:03 pm,7:06 pm,8:25 pm,8:24 pm,12:00 pm,1:00 pm
03/18/2025,"AlArbia'a, 18 Rabi' Awwal, 2025",5:40 am,5:50 am,7:02 am,1:03 pm,1:15 pm,4:24 pm,6:00 pm,7:04 pm,7:07 pm,8:26 pm,8:26 pm,12:00 pm,1:00 pm
03/19/2025,"AlKhamis, 19 Rabi' Awwal, 2025",5:38 am,5:48 am,7:00 am,1:03 pm,1:15 pm,4:24 pm,6:00 pm,7:05 pm,7:08 pm,8:28 pm,8:27 pm,12:00 pm,1:00 pm
03/20/2025,"AlJumaa, 20 Rabi' Awwal, 2025",5:36 am,5:46 am,6:58 am,1:02 pm,1:15 pm,4:25 pm,6:00 pm,7:07 pm,7:10 pm,8:29 pm,8:29 pm,12:00 pm,1:00 pm
03/21/2025,"AsSabt, 21 Rabi' Awwal, 2025",5:34 am,5:44 am,6:56 am,1:02 pm,1:15 pm,4:26 pm,6:00 pm,7:08 pm,7:11 pm,8:31 pm,8:30 pm,12:00 pm,1:00 pm
03/22/2025,"AlAhad, 22 Rabi' Awwal, 2025",5:32 am,5:42 am,6:54 am,1:02 pm,1:15 pm,4:27 pm,6:00 pm,7:09 pm,7:12 pm,8:32 pm,8:32 pm,12:00 pm,1:00 pm
03/23/2025,"AlEthnien, 23 Rabi' Awwal, 2025",5:29 am,5:39 am,6:52 am,1:01 pm,1:15 pm,4:27 pm,6:00 pm,7:11 pm,7:14 pm,8:33 pm,8:33 pm,12:00 pm,1:00 pm
03/24/2025,"AthThulatha, 24 Rabi' Awwal, 2025",5:27 am,5:37 am,6:50 am,1:01 pm,1:15 pm,4:28 pm,6:00 pm,7:12 pm,7:15 pm,8:35 pm,8:34 pm,12:00 pm,1:00 pm
03/25/2025,"AlArbia'a, 25 Rabi' Awwal, 2025",5:25 am,5:35 am,6:48 am,1:01 pm,1:15 pm,4:29 pm,6:00 pm,7:13 pm,7:16 pm,8:36 pm,8:36 pm,12:00 pm,1:00 pm
03/26/2025,"AlKhamis, 26 Rabi' Awwal, 2025",5:23 am,5:33 am,6:46 am,1:01 pm,1:15 pm,4:29 pm,6:00 pm,7:15 pm,7:18 pm,8:38 pm,8:37 pm,12:00 pm,1:00 pm
03/27/2025,"AlJumaa, 27 Rabi' Awwal, 2025",5:21 am,5:31 am,6:44 am,1:00 pm,1:15 pm,4:30 pm,6:00 pm,7:16 pm,7:19 pm,8:39 pm,8:39 pm,12:00 pm,1:00 pm
03/28/2025,"AsSabt, 28 Rabi' Awwal, 2025",5:19 am,5:29 am,6:43 am,1:00 pm,1:15 pm,4:31 pm,6:00 pm,7:17 pm,7:20 pm,8:41 pm,8:40 pm,12:00 pm,1:00 pm
03/29/2025,"AlAhad, 29 Rabi' Awwal, 2025",5:17 am,5:27 am,6:41 am,1:00 pm,1:15 pm,4:31 pm,6:00 pm,7:19 pm,7:22 pm,8:42 pm,8:42 pm,12:00 pm,1:00 pm
03/30/2025,"AlEthnien, 30 Rabi' Awwal, 2025",5:15 am,5:25 am,6:39 am,12:59 pm,1:15 pm,4:32 pm,6:00 pm,7:20 pm,7:23 pm,8:44 pm,8:43 pm,12:00 pm,1:00 pm
